Time,Tips,Hum%,TempC,voltMeasure(V),readVcc(mV),Event
2015-04-30T18:29:00,0,39.00,22.00,4.82,4850,Normal
2015-04-30T18:30:00,0,39.00,22.00,4.76,4850,Normal
2015-04-30T18:31:00,0,39.00,22.00,4.85,4850,Normal
2015-04-30T18:32:08,0,39.00,22.00,4.79,4850,Normal
2015-04-30T18:33:07,0,39.00,22.00,4.78,4850,Normal
2015-04-30T18:34:07,0,39.00,22.00,4.79,4850,Normal
2015-04-30T18:35:07,0,39.00,22.00,4.81,4850,Normal
2015-04-30T18:36:06,0,39.00,22.00,4.70,4850,Normal
2015-04-30T18:37:06,0,39.00,22.00,4.80,4850,Normal
2015-04-30T18:38:06,0,39.00,22.00,4.74,4850,Normal
2015-04-30T18:39:05,0,39.00,22.00,4.83,4829,Normal
2015-04-30T18:40:05,0,39.00,22.00,4.86,4850,Normal
2015-04-30T18:41:05,0,39.00,22.00,4.82,4850,Normal
2015-04-30T18:42:04,0,39.00,22.00,4.85,4850,Normal
2015-04-30T18:43:04,0,39.00,22.00,4.73,4850,Normal
2015-04-30T18:44:04,0,39.00,22.00,4.76,4850,Normal
2015-04-30T18:45:03,0,39.00,22.00,4.77,4850,Normal
2015-04-30T18:46:03,0,39.00,22.00,4.79,4850,Normal
2015-04-30T18:47:02,0,39.00,22.00,4.83,4850,Normal
2015-04-30T18:48:02,0,39.00,22.00,4.83,4850,Normal
2015-04-30T18:49:02,0,39.00,22.00,4.81,4850,Normal
2015-04-30T18:50:01,0,39.00,22.00,4.81,4850,Normal
2015-04-30T18:51:01,0,39.00,22.00,4.84,4850,Normal
2015-04-30T18:52:01,0,39.00,22.00,4.81,4850,Normal
2015-04-30T18:53:00,0,39.00,22.00,4.79,4850,Normal
2015-04-30T18:54:00,0,39.00,22.00,4.70,4850,Normal
2015-04-30T18:55:00,0,39.00,22.00,4.78,4850,Normal
2015-04-30T18:56:08,0,39.00,22.00,4.75,4850,Normal
2015-04-30T18:57:08,0,39.00,22.00,4.79,4850,Normal
2015-04-30T18:58:07,0,39.00,22.00,4.81,4850,Normal
2015-04-30T18:59:07,0,39.00,22.00,4.82,4850,Normal
2015-04-30T19:00:06,0,39.00,22.00,4.81,4850,Normal
2015-04-30T19:00:07,0,39.00,22.00,4.72,4850,Daily backup
2015-04-30T19:03:00,0,39.00,22.00,4.73,4850,Normal
2015-04-30T19:04:00,0,39.00,22.00,4.85,4850,Normal
2015-04-30T19:05:08,0,39.00,22.00,4.90,4850,Normal
2015-04-30T19:06:07,0,39.00,22.00,4.82,4850,Normal
2015-04-30T19:07:07,0,39.00,22.00,4.87,4850,Normal
2015-04-30T19:08:07,0,39.00,22.00,4.84,4850,Normal
2015-04-30T19:09:06,0,39.00,22.00,4.81,4850,Normal
2015-04-30T19:10:06,0,39.00,22.00,4.81,4850,Normal
2015-04-30T19:11:06,0,39.00,22.00,4.85,4850,Normal
2015-04-30T19:12:05,0,39.00,22.00,4.83,4850,Normal
2015-04-30T19:13:05,0,39.00,22.00,4.92,4850,Normal
2015-04-30T19:14:05,0,39.00,22.00,4.83,4850,Normal
2015-04-30T19:15:04,0,39.00,22.00,4.77,4850,Normal
2015-04-30T19:16:04,0,39.00,22.00,4.84,4850,Normal
2015-04-30T19:17:04,0,39.00,22.00,4.79,4850,Normal
2015-04-30T19:18:03,0,39.00,22.00,4.79,4850,Normal
2015-04-30T19:19:03,0,39.00,22.00,4.81,4850,Normal
2015-04-30T19:20:03,0,39.00,22.00,4.79,4850,Normal
2015-04-30T19:21:02,0,39.00,22.00,4.80,4850,Normal
2015-04-30T19:22:02,0,39.00,22.00,4.84,4850,Normal
2015-04-30T19:23:02,0,39.00,22.00,4.78,4850,Normal
2015-04-30T19:24:01,0,39.00,22.00,4.85,4850,Normal
2015-04-30T19:25:01,0,39.00,22.00,4.92,4850,Normal
2015-04-30T19:26:01,0,39.00,22.00,4.81,4850,Normal
2015-04-30T19:27:00,0,39.00,22.00,4.78,4850,Normal
2015-04-30T19:28:00,0,39.00,22.00,4.83,4850,Normal
2015-04-30T19:29:00,0,39.00,22.00,4.81,4850,Normal
2015-04-30T19:30:08,0,39.00,22.00,4.84,4850,Normal
